"","time","month_factor","month_and_year_factor","latitude","longitude","county","county_factor","year","count","X2m_temperature","total_precipitation","low_vegetation_cover","high_vegetation_cover","X10m_wind_speed","volumetric_soil_water_layer_1","total_cloud_cover","housingdensity","population","populationdensity","predicted_count"
"4389","7/1/2019",6,78,38,-120,"Mariposa",21,2019,2,0.641812551217123,-0.56148009167615,0.00183103918390135,0.473812141543789,-0.617196840161976,0.132836918497089,-1.26678370841547,-0.453070687358552,-0.45047577786515,-0.0523861939382496,1.61830025833567
"4390","7/1/2019",6,78,40,-124,"Mendocino",22,2019,1,0.611390295529941,-0.633621422985837,-1.29227168885897,0.828883040802881,0.68641497814681,-0.484161219849303,-0.89016275269605,-0.393867511767508,-0.40332481924569,-0.0506505866920261,1.62374920111051
"4391","7/1/2019",6,78,37.5,-121,"Merced",23,2019,0,1.75462664082718,-0.633621422985837,1.08024997921963,-0.494563038253736,-0.15878389306438,-0.561285987142602,-1.48199568311229,-0.306053920505152,-0.273876976376623,-0.0346336424314232,0.99670992452415
"4392","7/1/2019",6,78,41.75,-121,"Modoc",24,2019,2,0.949237450792851,-0.56148009167615,1.79801733930898,-1.14014649145209,-0.266224427540379,-0.792660289022499,-0.997768740044457,-0.46307726687036,-0.456145066048164,-0.0536821679581569,2.38608590730918
"4393","7/1/2019",6,78,38.5,-119.75,"Mono",25,2019,0,0.312771838389975,-0.417197429056776,1.05549938059586,-0.591400556233488,-0.595708733266776,-0.252786917969406,-0.997768740044457,-0.445785959422214,-0.452346331093676,-0.0533477230497937,0.340739429116938
"4394","7/1/2019",6,78,36.75,-124,"Monterey",26,2019,3,0.232713270792129,-0.597550757330994,-1.1013384994756,-1.20470483677192,3.46554346992598,-1.33253366007559,1.04674501957527,-0.1960705964958,-0.167853422759308,-0.0361440387917731,2.91466546684228
"4395","7/1/2019",6,78,38.5,-122.5,"Napa",27,2019,1,1.1966184246702,-0.633621422985837,-1.19326929436389,1.63586235730082,-0.395153068911578,-0.484161219849303,-1.21298071474127,-0.365564901501957,-0.368751110695962,-0.0291651984660494,1.12828136109581
"4396","7/1/2019",6,78,39.5,-121.25,"Nevada",28,2019,0,0.938029251329152,-0.597550757330994,-1.02355090380089,1.37762897602148,-0.481105496492377,0.287086453083688,-1.15917772106707,-0.367187171502131,-0.394506981155725,-0.0399416067835099,1.37529856986499
"4397","7/1/2019",6,78,33.75,-118,"Orange",29,2019,0,0.873982397250876,-0.633621422985837,0.556951608317047,-1.20470483677192,-0.359339557419578,-1.0240345909024,-0.298329822279814,1.69123921686793,1.69092393080278,0.487727498818322,0.442152654818224
"4398","7/1/2019",6,78,39.25,-121.25,"Placer",30,2019,0,1.23985005117303,-0.633621422985837,-0.585111728179807,1.02255807676239,-0.445291985000377,-0.0985373833828077,-1.21298071474127,-0.146283556084758,-0.192079087116576,-0.0158089792223843,0.624395187382937
