county,Year,Population
Alpine County,2018,"1,089"
Amador County,2018,"39,405"
Butte County,2018,"230,339"
Calaveras County,2018,"45,698"
Colusa County,2018,"21,418"
Contra Costa County,2018,"1,150,519"
Del Norte County,2018,"27,740"
El Dorado County,2018,"190,746"
Fresno County,2018,"991,950"
Glenn County,2018,"27,967"
Humboldt County,2018,"136,244"
Imperial County,2018,"181,523"
Inyo County,2018,"17,946"
Kern County,2018,"893,758"
Kings County,2018,"151,382"
Lake County,2018,"64,317"
Lassen County,2018,"30,618"
Los Angeles County,2018,"10,073,906"
Madera County,2018,"156,882"
Marin County,2018,"259,662"
Mariposa County,2018,"17,405"
Mendocino County,2018,"87,401"
Merced County,2018,"274,151"
Modoc County,2018,"8,800"
Mono County,2018,"14,403"
Monterey County,2018,"433,950"
Napa County,2018,"138,789"
Nevada County,2018,"99,508"
Orange County,2018,"3,175,973"
Placer County,2018,"392,330"
Plumas County,2018,"18,741"
Riverside County,2018,"2,445,789"
Sacramento County,2018,"1,538,746"
San Benito County,2018,"61,467"
San Bernardino County,2018,"2,166,753"
San Diego County,2018,"3,333,861"
San Francisco County,2018,"880,696"
San Joaquin County,2018,"752,491"
San Luis Obispo County,2018,"283,354"
San Mateo County,2018,"768,681"
Santa Barbara County,2018,"445,780"
Santa Clara County,2018,"1,932,337"
Santa Cruz County,2018,"273,841"
Shasta County,2018,"179,709"
Sierra County,2018,"2,997"
Siskiyou County,2018,"43,550"
Solano County,2018,"445,725"
Sonoma County,2018,"498,643"
Stanislaus County,2018,"548,126"
Sutter County,2018,"96,348"
Tehama County,2018,"64,018"
Trinity County,2018,"12,567"
Tulare County,2018,"464,589"
Tuolumne County,2018,"54,387"
Ventura County,2018,"848,142"
Yolo County,2018,"220,118"
Yuba County,2018,"77,557"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions All geographic boundaries for the 2019 population estimates are as of January 1, 2019 For population estimates methodology statements, see http://wwwcensusgov/programs-surveys/popest/technical-documentation/methodologyhtml",2018,
Suggested Citation:,2018,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-06)",2018,
"Source: US Census Bureau, Population Division",2018,
Release Date: March 2020,2018,
California,2019,"39,512,223"
Alameda County,2019,"1,671,329"
Alpine County,2019,"1,129"
Amador County,2019,"39,752"
Butte County,2019,"219,186"
Calaveras County,2019,"45,905"
Colusa County,2019,"21,547"
Contra Costa County,2019,"1,153,526"
Del Norte County,2019,"27,812"
El Dorado County,2019,"192,843"
Fresno County,2019,"999,101"
Glenn County,2019,"28,393"
Humboldt County,2019,"135,558"
Imperial County,2019,"181,215"
Inyo County,2019,"18,039"
Kern County,2019,"900,202"
Kings County,2019,"152,940"
Lake County,2019,"64,386"
Lassen County,2019,"30,573"
Los Angeles County,2019,"10,039,107"
Madera County,2019,"157,327"
Marin County,2019,"258,826"
Mariposa County,2019,"17,203"
Mendocino County,2019,"86,749"
Merced County,2019,"277,680"
Modoc County,2019,"8,841"
Mono County,2019,"14,444"
Monterey County,2019,"434,061"
Napa County,2019,"137,744"
Nevada County,2019,"99,755"
Orange County,2019,"3,175,692"
Placer County,2019,"398,329"
Plumas County,2019,"18,807"
Riverside County,2019,"2,470,546"
Sacramento County,2019,"1,552,058"
San Benito County,2019,"62,808"
San Bernardino County,2019,"2,180,085"
San Diego County,2019,"3,338,330"
San Francisco County,2019,"881,549"
San Joaquin County,2019,"762,148"
San Luis Obispo County,2019,"283,111"
San Mateo County,2019,"766,573"
Santa Barbara County,2019,"446,499"
Santa Clara County,2019,"1,927,852"
Santa Cruz County,2019,"273,213"
Shasta County,2019,"180,080"
Sierra County,2019,"3,005"
Siskiyou County,2019,"43,539"
Solano County,2019,"447,643"
Sonoma County,2019,"494,336"
Stanislaus County,2019,"550,660"
Sutter County,2019,"96,971"
Tehama County,2019,"65,084"
Trinity County,2019,"12,285"
Tulare County,2019,"466,195"
Tuolumne County,2019,"54,478"
Ventura County,2019,"846,006"
Yolo County,2019,"220,500"
Yuba County,2019,"78,668"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions All geographic boundaries for the 2019 population estimates are as of January 1, 2019 For population estimates methodology statements, see http://wwwcensusgov/programs-surveys/popest/technical-documentation/methodologyhtml",2019,
Suggested Citation:,2019,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-06)",2019,
"Source: US Census Bureau, Population Division",2019,
Release Date: March 2020,2019,
