city,2013,2014,2015,2016,2017,2018,2019
Lake Elsinore city,57711,60111,61955,63807,66066,68051,69283
Lake Forest city,79112,79678,81964,83019,83878,85381,85531
Lakeport city,4753,4765,4780,4909,4909,4926,5006
Lakewood city,80883,80927,80951,80895,80510,79907,79307
La Mesa city,58556,58855,59697,59751,59722,59389,59249
La Mirada city,48961,49019,49129,49054,48827,48544,48183
Lancaster city,159055,159634,159813,159633,159434,158622,157601
La Palma city,15846,15819,15806,15739,15644,15525,15428
La Puente city,40305,40367,40412,40250,40078,39772,39614
La Quinta city,39119,39742,40209,40777,41180,41464,41748
Larkspur city,12185,12286,12383,12362,12316,12302,12254
Lathrop city,19120,19506,20287,21564,22221,23227,24483
La Verne city,31659,32240,32442,32350,32258,32096,31974
Lawndale city,33108,33141,33157,33033,32875,32647,32389
Lemon Grove city,26116,26404,26554,26766,26963,26885,26811
Lemoore city,24826,25010,25452,25666,26262,26470,26725
Lincoln city,45018,45727,46286,46965,47525,47862,48275
Lindsay city,12938,13107,13147,13213,13249,13448,13463
Live Oak city,8373,8383,8411,8707,8724,8723,8912
Livermore city,85448,87017,88248,89572,90137,90253,90189
Livingston city,13460,13722,13810,13916,14085,14417,14896
Lodi city,63128,63620,64264,64578,65715,67003,67586
Loma Linda city,23691,23749,23952,24091,24132,24331,24482
Lomita city,20597,20619,20659,20629,20576,20448,20320
Lompoc city,43384,43870,43916,43537,43274,42689,42853
Long Beach city,468000,469109,470128,468719,466646,465865,462628
Loomis town,6640,6687,6691,6747,6793,6819,6866
Los Alamitos city,11597,11631,11621,11587,11526,11458,11399
Los Altos city,30014,30277,30667,30728,30677,30456,30089
Los Altos Hills town,8345,8440,8468,8564,8561,8530,8423
Los Angeles city,3881622,3909901,3938568,3963226,3975788,3977596,3979576
Los Banos city,36608,36820,37151,37461,38933,39960,41036
Los Gatos town,30722,30976,30970,30984,30914,30599,30222
Loyalton city,714,701,704,696,707,702,702
Lynwood city,71146,71193,71397,70979,70685,70285,69887
McFarland city,12430,13577,13941,14484,14996,15139,15506
Madera city,62749,63230,63690,64187,64941,65440,65860
Malibu city,12807,12839,12865,12853,12817,12757,11820
Mammoth Lakes town,8058,8086,8045,8158,8182,8220,8235
Manhattan Beach city,35426,35461,35504,35608,35702,35418,35183
Manteca city,71761,73157,75088,76831,79079,81603,83028
Maricopa city,1178,1185,1187,1187,1191,1194,1192
Marina city,20269,20680,21071,21622,21986,22456,22781
Martinez city,37119,37473,38050,38325,38411,38406,38297
Marysville city,12154,12165,12154,12193,12351,12452,12476
Maywood city,27614,27628,27636,27536,27406,27196,26973
Mendota city,11512,11505,11526,11541,11543,11526,11511
Menifee city,83045,84522,86411,88057,90104,92249,94756
Menlo Park city,33013,33211,33389,33970,34184,34500,34698
Merced city,80703,81120,81775,82232,82589,83113,83676
Millbrae city,22480,22669,22803,22764,22649,22530,22394
Mill Valley city,14307,14379,14377,14351,14287,14296,14259
Milpitas city,69944,73560,77485,77829,77874,80208,84196
Mission Viejo city,96003,96622,96543,96149,95551,94925,94381
Modesto city,206075,207652,209245,211231,213000,214389,215196
Monrovia city,36992,37066,37153,37019,36846,36592,36331
Montague city,1395,1388,1388,1388,1396,1394,1398
Montclair city,37923,38212,38447,38784,39124,39324,40083
