city,Year,Population
Palm Springs city,2013,46158.0
Palo Alto city,2013,66613.0
Palos Verdes Estates city,2013,13541.0
Paradise town,2013,26245.0
Paramount city,2013,54854.0
Parlier city,2013,14882.0
Pasadena city,2013,139292.0
Patterson city,2013,20985.0
Perris city,2013,72295.0
Petaluma city,2013,59337.0
Pico Rivera city,2013,63597.0
Piedmont city,2013,11085.0
Pinole city,2013,18880.0
Pismo Beach city,2013,7856.0
Pittsburg city,2013,66646.0
Placentia city,2013,52105.0
Placerville city,2013,10562.0
Pleasant Hill city,2013,34062.0
Pleasanton city,2013,74026.0
Plymouth city,2013,968.0
Point Arena city,2013,446.0
Pomona city,2013,151072.0
Porterville city,2013,58891.0
Port Hueneme city,2013,22114.0
Portola city,2013,1961.0
Portola Valley town,2013,4514.0
Poway city,2013,49377.0
Rancho Cordova city,2013,67722.0
Rancho Cucamonga city,2013,170815.0
Rancho Mirage city,2013,17607.0
Rancho Palos Verdes city,2013,42326.0
Rancho Santa Margarita city,2013,49038.0
Red Bluff city,2013,14022.0
Redding city,2013,90773.0
Redlands city,2013,69800.0
Redondo Beach city,2013,67629.0
Redwood City city,2013,81034.0
Reedley city,2013,25002.0
Rialto city,2013,101547.0
Richmond city,2013,107083.0
Ridgecrest city,2013,28569.0
Rio Dell city,2013,3365.0
Rio Vista city,2013,7712.0
Ripon city,2013,14803.0
Riverbank city,2013,23400.0
Riverside city,2013,315510.0
Rocklin city,2013,59613.0
Rohnert Park city,2013,41325.0
Rolling Hills city,2013,1885.0
Rolling Hills Estates city,2013,8183.0
Rosemead city,2013,54398.0
Roseville city,2013,126769.0
Ross town,2013,2473.0
Sacramento city,2013,478214.0
St. Helena city,2013,5921.0
Salinas city,2013,154958.0
San Anselmo town,2013,12586.0
San Bernardino city,2013,213789.0
San Bruno city,2013,42593.0
San Buenaventura (Ventura) city,2013,109339.0
San Carlos city,2013,29426.0
San Clemente city,2013,64845.0
Sand City city,2013,343.0
San Diego city,2013,1355320.0
San Dimas city,2013,33745.0
San Fernando city,2013,24088.0
San Francisco city,2013,839572.0
San Gabriel city,2013,40033.0
Sanger city,2013,24575.0
San Jacinto city,2013,45829.0
San Joaquin city,2013,4005.0
San Jose city,2013,1001279.0
San Juan Bautista city,2013,1897.0
San Juan Capistrano city,2013,35525.0
San Leandro city,2013,88074.0
San Luis Obispo city,2013,46236.0
San Marcos city,2013,89423.0
San Marino city,2013,13235.0
San Mateo city,2013,101323.0
San Pablo city,2013,30083.0
San Rafael city,2013,58995.0
San Ramon city,2013,73560.0
Santa Ana city,2013,333716.0
Santa Barbara city,2013,90082.0
Santa Clara city,2013,120486.0
Santa Clarita city,2013,211376.0
Santa Cruz city,2013,62731.0
Santa Fe Springs city,2013,16983.0
Santa Maria city,2013,102057.0
Santa Monica city,2013,92050.0
Santa Paula city,2013,30099.0
Santa Rosa city,2013,178684.0
Santee city,2013,56151.0
Saratoga city,2013,30957.0
Sausalito city,2013,7115.0
Scotts Valley city,2013,11743.0
Seal Beach city,2013,24537.0
Seaside city,2013,33929.0
Sebastopol city,2013,7656.0
Selma city,2013,24259.0
Shafter city,2013,17273.0
Shasta Lake city,2013,10108.0
Sierra Madre city,2013,11028.0
Signal Hill city,2013,11288.0
Simi Valley city,2013,125868.0
Solana Beach city,2013,13219.0
Soledad city,2013,25772.0
Solvang city,2013,5355.0
Sonoma city,2013,10872.0
Sonora city,2013,4814.0
South El Monte city,2013,20341.0
South Gate city,2013,94674.0
South Lake Tahoe city,2013,21360.0
South Pasadena city,2013,25872.0
South San Francisco city,2013,66237.0
Stanton city,2013,38550.0
Stockton city,2013,297493.0
Suisun City city,2013,28670.0
Sunnyvale city,2013,148055.0
Susanville city,2013,15519.0
Sutter Creek city,2013,2469.0
Taft city,2013,8926.0
Tehachapi city,2013,13289.0
Tehama city,2013,415.0
Temecula city,2013,106073.0
Temple City city,2013,35910.0
Thousand Oaks city,2013,128224.0
Tiburon town,2013,9161.0
Torrance city,2013,146671.0
Tracy city,2013,84872.0
Trinidad city,2013,361.0
Truckee town,2013,16085.0
Tulare city,2013,60905.0
Tulelake city,2013,985.0
Turlock city,2013,70261.0
Tustin city,2013,78122.0
Twentynine Palms city,2013,25686.0
Ukiah city,2013,15854.0
Union City city,2013,72552.0
Upland city,2013,75188.0
Vacaville city,2013,94023.0
Vallejo city,2013,118550.0
Vernon city,2013,113.0
Victorville city,2013,120697.0
Villa Park city,2013,5940.0
Visalia city,2013,127309.0
Vista city,2013,96211.0
Walnut city,2013,29919.0
Walnut Creek city,2013,66812.0
Wasco city,2013,25909.0
Waterford city,2013,8579.0
Watsonville city,2013,52412.0
Weed city,2013,2884.0
West Covina city,2013,107348.0
West Hollywood city,2013,35101.0
Westlake Village city,2013,8446.0
Westminster city,2013,91624.0
Westmorland city,2013,2256.0
West Sacramento city,2013,49978.0
Wheatland city,2013,3508.0
Whittier city,2013,86326.0
Wildomar city,2013,33639.0
Williams city,2013,5125.0
Willits city,2013,4859.0
Willows city,2013,6064.0
Windsor town,2013,27157.0
Winters city,2013,6894.0
Woodlake city,2013,7600.0
Woodland city,2013,56713.0
Woodside town,2013,5471.0
Yorba Linda city,2013,66803.0
Yountville city,2013,2954.0
Yreka city,2013,7546.0
Yuba City city,2013,65538.0
Yucaipa city,2013,52546.0
Yucca Valley town,2013,21044.0
Adelanto city,2014,32522.0
Agoura Hills city,2014,20648.0
Alameda city,2014,77509.0
Albany city,2014,19434.0
Alhambra city,2014,84786.0
Aliso Viejo city,2014,49542.0
Alturas city,2014,2636.0
Amador City city,2014,182.0
American Canyon city,2014,20285.0
Anaheim city,2014,344604.0
Anderson city,2014,10188.0
Angels city,2014,3735.0
Antioch city,2014,109071.0
Apple Valley town,2014,71141.0
Arcadia city,2014,57513.0
Arcata city,2014,17869.0
Arroyo Grande city,2014,17859.0
Artesia city,2014,16755.0
Arvin city,2014,20498.0
Atascadero city,2014,29329.0
Atherton town,2014,7127.0
Atwater city,2014,28861.0
Auburn city,2014,13878.0
Avalon city,2014,3768.0
Avenal city,2014,13257.0
Azusa city,2014,48561.0
Bakersfield city,2014,366954.0
Baldwin Park city,2014,76375.0
Banning city,2014,30612.0
Barstow city,2014,23484.0
Beaumont city,2014,41994.0
Bell city,2014,35874.0
Bellflower city,2014,77532.0
Bell Gardens city,2014,42714.0
Belmont city,2014,27013.0
Belvedere city,2014,2134.0
Benicia city,2014,27827.0
Berkeley city,2014,118697.0
Beverly Hills city,2014,34363.0
Big Bear Lake city,2014,5159.0
Biggs city,2014,1692.0
Bishop city,2014,3815.0
Blue Lake city,2014,1238.0
Blythe city,2014,19268.0
Bradbury city,2014,1073.0
Brawley city,2014,25660.0
Brea city,2014,41265.0
Brentwood city,2014,56854.0
Brisbane city,2014,4602.0
Buellton city,2014,5036.0
Buena Park city,2014,82621.0
Burbank city,2014,104405.0
Burlingame city,2014,30258.0
Calabasas city,2014,24058.0
Calexico city,2014,39550.0
California City city,2014,13203.0
Calimesa city,2014,8380.0
Calipatria city,2014,7491.0
Calistoga city,2014,5274.0
Camarillo city,2014,66517.0
Campbell city,2014,42256.0
Canyon Lake city,2014,10945.0
Capitola city,2014,10114.0
Carlsbad city,2014,111609.0
Carmel-by-the-Sea city,2014,3804.0
Carpinteria city,2014,13565.0
Carson city,2014,92684.0
Cathedral City city,2014,53187.0
Ceres city,2014,46918.0
Cerritos city,2014,49532.0
Chico city,2014,89491.0
Chino city,2014,84296.0
Chino Hills city,2014,76509.0
Chowchilla city,2014,18843.0
Chula Vista city,2014,259885.0
Citrus Heights city,2014,85665.0
Claremont city,2014,35715.0
Clayton city,2014,11667.0
Clearlake city,2014,15052.0
Cloverdale city,2014,8754.0
Clovis city,2014,101904.0
Coachella city,2014,43885.0
Coalinga city,2014,16647.0
Colfax city,2014,2000.0
Colma town,2014,1497.0
Colton city,2014,53706.0
Colusa city,2014,6126.0
Commerce city,2014,12964.0
Compton city,2014,97634.0
Concord city,2014,127128.0
Corcoran city,2014,22834.0
Corning city,2014,7516.0
Corona city,2014,160419.0
Coronado city,2014,23549.0
Corte Madera town,2014,9908.0
Costa Mesa city,2014,112485.0
Cotati city,2014,7411.0
Covina city,2014,48538.0
Crescent City city,2014,6780.0
Cudahy city,2014,24070.0
Culver City city,2014,39329.0
Cupertino city,2014,60592.0
Cypress city,2014,48936.0
Daly City city,2014,105887.0
Dana Point city,2014,33927.0
Danville town,2014,43817.0
Davis city,2014,66545.0
Delano city,2014,52447.0
Del Mar city,2014,4299.0
Del Rey Oaks city,2014,1670.0
Desert Hot Springs city,2014,28008.0
Diamond Bar city,2014,56279.0
Dinuba city,2014,23528.0
Dixon city,2014,19098.0
Dorris city,2014,900.0
