,incident_name,incident_dateonly_extinguished,incident_dateonly_created,incident_acres_burned,incident_longitude,incident_latitude,city,incident_county,incident_id,incident_url
419,Oak Fire,2016-08-14,2016-08-12,25,-121.68577,37.06531,Morgan Hill,Santa Clara,b82b0e22-4155-43dd-ac33-1da015b6d3d2,https://www.fire.ca.gov/incidents/2016/8/12/oak-fire/
420,Pilot Fire,2016-08-16,2016-08-07,8110,-117.27338,34.28771,Crestline,San Bernardino,69c7b8cc-061e-4ca6-b5e8-83c6ae9d8a25,https://www.fire.ca.gov/incidents/2016/8/7/pilot-fire/
421,Kugelman Fire,2016-08-10,2016-08-09,45,-120.51057,36.09974,Coalinga,Lake,28b9dc5f-f9c0-41fb-81d6-8db562122f00,https://www.fire.ca.gov/incidents/2016/8/9/kugelman-fire/
422,Knoxville Fire,2016-08-10,2016-08-09,36,-122.26015,38.68403,Angwin,Lake,ef4185e8-9b3a-421f-9fae-a0b954b0b3c0,https://www.fire.ca.gov/incidents/2016/8/9/knoxville-fire/
423,Mineral Fire,2016-08-18,2016-08-09,7050,-120.51057,36.09974,Coalinga,Fresno,346c59b1-375e-4d42-876a-d97b769c939f,https://www.fire.ca.gov/incidents/2016/8/9/mineral-fire/
424,Blue Cut Fire,2016-08-23,2016-08-16,36274,-117.49342,34.30372,Oak Hills,San Bernardino,ea5193a1-69bc-4684-bfcd-235c17d36756,https://www.fire.ca.gov/incidents/2016/8/16/blue-cut-fire/
425,Mountain Fire,2016-08-10,2016-08-09,35,-122.47091,40.61213,Shasta,Shasta,93995926-26b0-4158-9f93-fec263f40b47,https://www.fire.ca.gov/incidents/2016/8/9/mountain-fire/
426,Summit Fire,2016-08-19,2016-08-12,21,-123.77832,40.9878,Willow Creek,Humboldt,861bfbd3-ce1c-46bd-a32b-2848b7399119,https://www.fire.ca.gov/incidents/2016/8/12/summit-fire/
427,Chimney Fire,2016-09-06,2016-08-13,46344,-120.98316,35.70595,Lake Nacimiento,San Luis Obispo,040d03d0-fbdd-438c-8174-f81e4a1bba57,https://www.fire.ca.gov/incidents/2016/8/13/chimney-fire/
428,Clayton Fire,2016-08-26,2016-08-13,3929,-122.60664,38.89741,Lower Lake,Lake,a0950d5e-6f35-4023-bb60-6737146ba7bd,https://www.fire.ca.gov/incidents/2016/8/13/clayton-fire/
429,Cedar Fire,2016-10-01,2016-08-16,29322,-118.5678,35.7506,Alta Sierra,Kern,e247e423-6171-4184-9dca-b373de703885,https://www.fire.ca.gov/incidents/2016/8/16/cedar-fire/
430,Stafford Fire,2016-08-16,2016-08-11,23,-124.05804,40.4572,Rio Dell,Humboldt,bc2fd9c2-da5c-4cd7-bbec-9daf2143a196,https://www.fire.ca.gov/incidents/2016/8/11/stafford-fire/
431,Boys Fire,2016-09-12,2016-09-11,40,-121.1309,38.558,Rancho Murieta,Sacramento,2d2aa30d-5c3f-4f46-97eb-54b63bec7f3a,https://www.fire.ca.gov/incidents/2016/9/11/boys-fire/
432,Mokelumne Fire,2016-08-30,2016-08-18,0,-120.00606,38.57554,South Lake Tahoe,Alpine,5823867d-c458-4673-858f-0ded99b6121f,https://www.fire.ca.gov/incidents/2016/8/18/mokelumne-fire/
433,Sunny Fire,2016-09-06,2016-09-03,158,-119.34487,36.84479,Squaw Valley,Fresno,63643257-f082-4928-bf0e-77a0417a4613,https://www.fire.ca.gov/incidents/2016/9/3/sunny-fire/
434,Oak Fire,2016-09-02,2016-09-01,25,-121.69784,37.11831,Morgan Hill,Santa Clara,e935ecb3-5eba-43f8-ae02-624b3d5bc03a,https://www.fire.ca.gov/incidents/2016/9/1/oak-fire/
435,Beale Fire,2016-08-18,2016-08-18,400,-121.38775,36.16965,Greenfield,Yuba,822c934f-11be-48a9-8e60-f3f6802ef24d,https://www.fire.ca.gov/incidents/2016/8/18/beale-fire/
436,Mina Fire,2016-08-31,2016-08-30,36,-123.4267011,39.8748511,Laytonville,Mendocino,b44c3b1e-b243-455e-9ca9-9a1b5570e003,https://www.fire.ca.gov/incidents/2016/8/30/mina-fire/
437,Havilah Fire,2016-08-28,2016-08-28,304,-118.5097,35.4976,Bodfish,Kern,fa457abb-66d2-4f82-80fd-452e824e871f,https://www.fire.ca.gov/incidents/2016/8/28/havilah-fire/
438,Gap Fire,2016-08-28,2016-08-27,33867,-123.118,41.851,Happy Camp,Siskiyou,85683fd7-b507-4ec7-8bbd-fb7033a42665,https://www.fire.ca.gov/incidents/2016/8/27/gap-fire/
439,Bird Fire,2016-08-20,2016-08-20,147,-121.36665,37.62215,Tracy,San Joaquin,86166c24-3a85-42e3-a53a-ebb1d935fb8a,https://www.fire.ca.gov/incidents/2016/8/20/bird-fire/
440,Tully Fire,2016-09-04,2016-08-22,599,-123.82268,41.28486,Westhaven-Moonstone,Humboldt,da72b0c2-835d-42a5-8fa8-4de5442610cc,https://www.fire.ca.gov/incidents/2016/8/22/tully-fire/
441,Willard Fire,2016-09-22,2016-09-11,2575,-120.7845,40.3915,Susanville,Lassen,1243f711-c29f-4bc3-a7e7-c705a6fc40f2,https://www.fire.ca.gov/incidents/2016/9/11/willard-fire/
442,Santos Fire,2016-08-30,2016-08-26,88,-121.71662,39.79547,Forest Ranch,Butte,c55cc099-43f6-4a55-81b4-59ee03618511,https://www.fire.ca.gov/incidents/2016/8/26/santos-fire/
443,Willow Fire,2016-08-31,2016-08-28,450,-120.6381,38.1874,San Andreas,Calaveras,db833182-22df-44cc-ba10-0901e74222bc,https://www.fire.ca.gov/incidents/2016/8/28/willow-fire/
444,Tule Fire,2016-11-08,2016-08-22,395,-118.73906,36.1648,East Porterville,Tulare,954fb899-decb-461b-a0dd-76442e3370d3,https://www.fire.ca.gov/incidents/2016/8/22/tule-fire/
445,Grade Fire,2016-08-30,2016-08-24,710,-122.611,41.7813,Yreka,Siskiyou,a2a6199c-704a-4826-a51b-23e6ee123349,https://www.fire.ca.gov/incidents/2016/8/24/grade-fire/
446,Howard Fire,2016-09-14,2016-09-11,380,-120.9066,41.4657,Alturas,Modoc,97772dc4-7fde-4412-982c-974b3316e22b,https://www.fire.ca.gov/incidents/2016/9/11/howard-fire/
447,Range Fire,2016-08-29,2016-08-26,518,-118.7212,35.2013,Bear Valley Springs,Kern,2656ad63-b3e1-467f-9982-0229fd31c0f5,https://www.fire.ca.gov/incidents/2016/8/26/range-fire/
448,Mockingbird Fire,2016-08-31,2016-08-30,20,-122.9148951,39.1408865,Upper Lake,Lake,1780f987-76f9-4a82-81bd-6cb914758eec,https://www.fire.ca.gov/incidents/2016/8/30/mockingbird-fire/
449,Moffett Fire,2016-09-13,2016-09-12,32,-122.7933,41.6314,Yreka,Siskiyou,ed16bf52-f886-4384-b841-2e755234aa29,https://www.fire.ca.gov/incidents/2016/9/12/moffett-fire/
450,Old Fire,2016-09-19,2016-09-16,30,-121.6998,39.8851,Forest Ranch,Butte,69e1a36d-21ab-4feb-b31c-dbfac4bf62d1,https://www.fire.ca.gov/incidents/2016/9/16/old-fire/
451,Hog Fire,2016-09-13,2016-09-13,360,-122.1295,40.30594,Red Bluff,Tehama,060ef833-2d3f-47d4-a1d4-146d1b9a5928,https://www.fire.ca.gov/incidents/2016/9/13/hog-fire/
452,Old Fire,2016-09-17,2016-09-13,150,-120.029626,37.75972,Midpines,Del Norte,f66ae0d0-837d-4ea9-a7ed-6a78d9bde940,https://www.fire.ca.gov/incidents/2016/9/13/old-fire/
453,Auburn Fire,2016-09-20,2016-09-17,47,-121.05948,39.20427,Grass Valley,Nevada,1f8b3267-c3bd-43f5-9733-2b30c97d45ee,https://www.fire.ca.gov/incidents/2016/9/17/auburn-fire/
454,Owens River Fire,2016-09-18,2016-09-17,5443,-118.95309,37.75985,Mammoth Lakes,Inyo,821c040d-a17c-4934-990f-ca7d441a303a,https://www.fire.ca.gov/incidents/2016/9/17/owens-river-fire/
455,Soup Complex,2016-10-13,2016-09-17,2652,-120.3178,41.2649,Alturas,Modoc,92c20948-6ff6-4a2c-b13f-32c75e71b16c,https://www.fire.ca.gov/incidents/2016/9/17/soup-complex/
456,Canyon Fire,2016-09-27,2016-09-17,12518,-120.54421,34.63445,Lompoc,Santa Barbara,f6afb8c4-32dc-4e6d-8d30-e6b7ccd4a62f,https://www.fire.ca.gov/incidents/2016/9/17/canyon-fire/
457,Washington Fire,2016-09-27,2016-09-22,215,-120.55297,34.75134,Vandenberg Air Force Base,Santa Barbara,686e1300-65d3-4e07-8a88-e5952418649b,https://www.fire.ca.gov/incidents/2016/9/22/washington-fire/
458,Bangor Fire,2016-09-23,2016-09-22,130,-121.42647,39.4403,Oroville East,Butte,b4940174-75d0-4f5e-b505-4a66c17a9157,https://www.fire.ca.gov/incidents/2016/9/22/bangor-fire/
459,Butte Fire,2016-09-20,2016-09-20,300,-121.78003,39.188321,Sutter,Sutter,f669c502-b400-4ad9-ae95-bfd9c31f903c,https://www.fire.ca.gov/incidents/2016/9/20/butte-fire/
460,Bell Fire,2016-09-25,2016-09-23,45,-120.8416,38.5212,Plymouth,Amador,0bf08653-1441-4e73-b24b-1296afb12b45,https://www.fire.ca.gov/incidents/2016/9/23/bell-fire/
461,Marshes Fire,2016-10-04,2016-09-26,1080,-120.32484,37.79635,Jamestown,Tuolumne,3a4871dc-2299-4934-8a31-b92780fe31a3,https://www.fire.ca.gov/incidents/2016/9/26/marshes-fire/
462,Newmark Fire,2016-09-24,2016-09-23,70,-119.5327,36.6543,Parlier,Fresno,2e8eb057-1d9a-41a7-ab9f-9b85ce3374c4,https://www.fire.ca.gov/incidents/2016/9/23/newmark-fire/
463,Cow Fire,2016-09-25,2016-09-25,100,-121.93923,40,Los Molinos,Shasta,8a4c92b3-c1aa-41e0-aaed-999d73f0a418,https://www.fire.ca.gov/incidents/2016/9/25/cow-fire/
464,Sawmill Fire,2016-09-29,2016-09-25,1547,-122.82895,38.80017,Cobb,Sonoma,8d9b87e4-6fdb-49e4-ba6d-be85ffd6b222,https://www.fire.ca.gov/incidents/2016/9/25/sawmill-fire/
465,Tobin Fire,2016-10-06,2016-09-26,248,-121.32,39.92,Magalia,Plumas,abd0a296-217d-4a6a-9da0-5eb05f56f863,https://www.fire.ca.gov/incidents/2016/9/26/tobin-fire/
466,Loma Fire,2017-09-19,2016-09-26,4474,-121.85318,37.10632,Day Valley,Santa Clara,2dfac408-d2ab-4ff9-94aa-91be9d07bb59,https://www.fire.ca.gov/incidents/2016/9/26/loma-fire/
467,Sacata Fire,2016-10-20,2016-10-11,2100,-119.25959,36.94536,Squaw Valley,Fresno,59084c8f-904c-42cb-9aa8-cae4a1f8c6ef,https://www.fire.ca.gov/incidents/2016/10/11/sacata-fire/
468,Emerald Fire,2016-10-17,2016-10-14,176,-120.10744,38.93449,South Lake Tahoe,El Dorado,81ef7517-ab3c-4d1a-8ddd-b5d69404676f,https://www.fire.ca.gov/incidents/2016/10/14/emerald-fire/
469,Gopher Fire,2016-11-14,2016-11-13,28,-117.158475,33.254355,Hidden Meadows,San Diego,6f600260-2bdb-4f53-9d1a-eab8afb3a11a,https://www.fire.ca.gov/incidents/2016/11/13/gopher-fire/
470,Marek Fire,2016-11-14,2016-11-14,4824,-118.335,34.31,San Fernando,Los Angeles,ca1227b3-1458-44c9-b32e-2994e309f940,https://www.fire.ca.gov/incidents/2016/11/14/marek-fire/
471,Jacobson Fire,2016-12-19,2016-10-20,10,-118.551,36.217,Three Rivers,Tulare,2458cd6c-82d6-43ef-b509-706e3af69451,https://www.fire.ca.gov/incidents/2016/10/20/jacobson-fire/
472,Meadow Fire,2016-12-19,2016-10-29,4347,-118.551,35.984,Alta Sierra,Tulare,89c304db-e288-4582-90d4-884d57fd71f9,https://www.fire.ca.gov/incidents/2016/10/29/meadow-fire/
473,Aqueduct Fire,2019-01-03,2018-04-12,30,-119.94083,35.92436,Kettleman City,Fresno,a97e2077-2013-459a-baa7-276781503e3c,https://www.fire.ca.gov/incidents/2018/4/12/aqueduct-fire/
474,Oroville Spillway,2018-01-09,2017-02-07,0,-121.55633,39.51158,Oroville,Butte,afb8c00c-ef91-4544-90ce-54722be124af,https://www.fire.ca.gov/incidents/2017/2/7/oroville-spillway/
475,Grace Fire,2018-01-09,2017-04-03,45,-121.85645,40.48712,Shingletown,Shasta,95960fa6-58ba-4b4e-aeb2-ada97d699908,https://www.fire.ca.gov/incidents/2017/4/3/grace-fire/
476,West Fire,2018-01-09,2017-04-03,380,-120.58342,41.16716,Alturas,Modoc,31b0e75c-b0e2-4796-b8a7-efc49e4c59a5,https://www.fire.ca.gov/incidents/2017/4/3/west-fire/
477,66 Fire,2018-01-09,2017-04-13,15,-116.08003,33.56777,Mecca,Riverside,b12ae71e-c6c8-4eab-9aab-d17d1879a639,https://www.fire.ca.gov/incidents/2017/4/13/66-fire/
478,Jayne Fire,2018-01-09,2017-04-20,5738,-120.26561,36.07228,Coalinga,Fresno,0cacf259-1ba3-4e8c-a938-feaab2655c4b,https://www.fire.ca.gov/incidents/2017/4/20/jayne-fire/
479,Soledad Fire,2018-01-09,2017-04-24,10,-121.34695,36.44141,Soledad,Monterey,b8bdbd12-e3a2-49e0-8d65-7c18b8d584bf,https://www.fire.ca.gov/incidents/2017/4/24/soledad-fire/
480,El Dorado Fire,2018-01-09,2017-04-28,976,-120.206592,36.530836,San Joaquin,Fresno,17a7d561-bee7-454d-a0aa-ac450907f6fd,https://www.fire.ca.gov/incidents/2017/4/28/el-dorado-fire/
481,Tumey Fire,2018-01-09,2017-04-29,126,-120.6585,36.5355,Mendota,Fresno,d804eebf-71de-46de-90c2-cdf0694d27e3,https://www.fire.ca.gov/incidents/2017/4/29/tumey-fire/
482,Tower Fire,2018-01-09,2017-04-30,150,-117.45646,34.30104,Oak Hills,San Bernardino,45699833-fa34-4eed-9520-8c8019426122,https://www.fire.ca.gov/incidents/2017/4/30/tower-fire/
483,Opera Fire,2018-01-09,2017-04-30,1350,-117.30693,34.00566,Highgrove,Riverside,c254df3f-a241-4983-a880-e12944a9f7b2,https://www.fire.ca.gov/incidents/2017/4/30/opera-fire/
484,Jameson Fire,2018-01-09,2017-04-30,12,-117.5048,33.7866,El Cerrito,Riverside,7fc71135-ee3b-443c-a859-90672936e0c1,https://www.fire.ca.gov/incidents/2017/4/30/jameson-fire/
485,Fay Fire,2018-01-09,2017-05-01,19,-118.30601,35.71704,Weldon,Kern,f5237d47-f15b-4f4b-8b1c-6f11235f954d,https://www.fire.ca.gov/incidents/2017/5/1/fay-fire/
486,Olive Fire,2018-01-09,2017-05-02,130,-120.22647,35.78286,Shandon,San Luis Obispo,87d7fb46-00f9-4bae-ba35-a7ef8e58a70e,https://www.fire.ca.gov/incidents/2017/5/2/olive-fire/
487,Shandon Fire,2018-01-09,2017-05-07,12,-120.3317,35.6879,Shandon,San Luis Obispo,c7e3bcbf-1065-4e45-a4a3-bf0b5ac6aa23,https://www.fire.ca.gov/incidents/2017/5/7/shandon-fire/
488,Sonoma Fire,2018-01-09,2017-05-10,400,-120.2445,36.45491,San Joaquin,Fresno,eca1021e-dfea-4dec-8470-c0eb7e4d479b,https://www.fire.ca.gov/incidents/2017/5/10/sonoma-fire/
489,Hub Fire,2018-01-09,2017-05-12,31,-118.4683,35.60001,Lake Isabella,Kern,5115a26e-e8e8-42cd-9aeb-f5c41efd770a,https://www.fire.ca.gov/incidents/2017/5/12/hub-fire/
490,Wright Fire,2018-01-09,2017-05-12,1800,-120.89261,36.96655,Los Banos,Merced,63a81990-8521-409d-9c22-92d1c33e0353,https://www.fire.ca.gov/incidents/2017/5/12/wright-fire/
491,Nacimiento Fire,2018-01-09,2017-05-14,20,-120.92482,35.77082,Lake Nacimiento,Monterey,1423af4f-16d5-4f19-a01d-fc3ebc124201,https://www.fire.ca.gov/incidents/2017/5/14/nacimiento-fire/
492,Canyon Fire,2018-01-09,2017-05-14,17,-116.99229,33.88466,Beaumont,Riverside,48c4b519-eaf5-4ae8-9470-31e8770a70ac,https://www.fire.ca.gov/incidents/2017/5/14/canyon-fire/
493,Feed Fire,2018-01-09,2017-05-14,41,-118.90004,35.05076,Arvin,Kern,9f416f37-a8ca-4127-a6b7-02626fd32e06,https://www.fire.ca.gov/incidents/2017/5/14/feed-fire/
494,Arrow Fire,2018-01-09,2017-05-15,225,-119.87525,35.21177,Taft Heights,San Luis Obispo,5b3329f4-1e37-4b5a-9ed6-6f8d74f495c3,https://www.fire.ca.gov/incidents/2017/5/15/arrow-fire/
495,Bravo Fire,2018-01-09,2017-05-15,288,-118.84466,35.41283,Lamont,Kern,0fc2a05e-689f-4c7c-b2b4-a987840b4f2c,https://www.fire.ca.gov/incidents/2017/5/15/bravo-fire/
496,Pine Fire,2018-01-09,2017-05-16,18,-120.86682,36.1727,King City,Monterey,75bb079a-1de8-4824-a933-e19f69948438,https://www.fire.ca.gov/incidents/2017/5/16/pine-fire/
497,Lonoak Fire,2018-01-09,2017-05-17,17,-120.94328,36.2771,King City,Monterey,2d12b95c-3f4e-41bc-a771-8ae2cb80b99e,https://www.fire.ca.gov/incidents/2017/5/17/lonoak-fire/
498,41 Fire,2018-01-09,2017-05-17,150,-119.79315,36.90967,Bonadelle Ranchos-Madera Ranchos,Madera,9a555129-982b-486f-a333-c96b3f9c4d2e,https://www.fire.ca.gov/incidents/2017/5/17/41-fire/
499,Camp Fire,2018-01-09,2017-05-18,225,-120.76464,35.34541,Los Osos,San Luis Obispo,048c085b-3162-4906-beef-7aa2ba1b868d,https://www.fire.ca.gov/incidents/2017/5/18/camp-fire/
500,Elm Fire,2018-01-09,2017-05-18,10343,-120.37116,36.12089,Coalinga,Fresno,65062933-27cf-48d7-8e4c-9a7ac78e65ff,https://www.fire.ca.gov/incidents/2017/5/18/elm-fire/
501,City Fire,2018-01-09,2017-05-18,20,-119.91508,35.983,Kettleman City,Kings,3fce8146-ff21-4399-9a94-f37124b34331,https://www.fire.ca.gov/incidents/2017/5/18/city-fire/
502,Moraga Fire,2018-01-09,2017-05-18,14,-117.44148,33.97155,Pedley,Riverside,9348a031-c7b3-4165-890a-37a7eb7405db,https://www.fire.ca.gov/incidents/2017/5/18/moraga-fire/
503,Manning Fire,2018-01-09,2017-05-19,70,-120.5828,36.60736,Mendota,Fresno,b3fc6dff-f13a-41c4-b7f3-e9e960a941d5,https://www.fire.ca.gov/incidents/2017/5/19/manning-fire/
504,Taglio Fire,2018-01-09,1969-12-31,12,-121.07761,37.21812,Gustine,Merced,fcb8579e-7469-4c9e-9eac-527264e6f26b,https://www.fire.ca.gov/incidents/2017/12/31/taglio-fire/
505,Range Fire,2018-01-09,2017-05-19,0,-120.80411,35.85253,Lake Nacimiento,San Luis Obispo,5bfc7c8f-0d7f-4b14-903b-00014014c14b,https://www.fire.ca.gov/incidents/2017/5/19/range-fire/
506,Deluz Fire,2018-01-09,2017-05-19,486,-117.32348,33.3906,Fallbrook,San Diego,3d595f75-d59e-4453-b25c-48207b02f529,https://www.fire.ca.gov/incidents/2017/5/19/deluz-fire/
507,Gate Fire,2018-01-09,2017-05-20,2056,-116.80527,32.65597,Jamul,San Diego,c4d0a25f-02f6-4877-a944-8f5d50bf2335,https://www.fire.ca.gov/incidents/2017/5/20/gate-fire/
508,Rocky Fire,2018-01-09,2017-05-20,17,-120.474,35.556667,Shandon,San Luis Obispo,fbc11fc4-573b-465f-a9ac-a879ee2cdda2,https://www.fire.ca.gov/incidents/2017/5/20/rocky-fire/
509,Ming Fire,2018-01-09,2017-05-20,506,-118.85896,35.4605,Oildale,Kern,39967485-2cf1-4f0e-9cf1-ccfd25f6e2bf,https://www.fire.ca.gov/incidents/2017/5/20/ming-fire/
510,Moreno Fire,2018-01-09,2017-05-23,10,-117.17773,33.94673,Moreno Valley,Riverside,fccf2545-cab8-452e-829c-8379054831f0,https://www.fire.ca.gov/incidents/2017/5/23/moreno-fire/
511,Wasioja Fire,2018-01-09,2017-05-20,190,-119.8036,34.9465,Taft Heights,Santa Barbara,06b43461-94d0-4379-a1d6-fd26ba93ceea,https://www.fire.ca.gov/incidents/2017/5/20/wasioja-fire/
512,Ribbonwood Fire,2018-01-09,2017-05-24,25,-116.29296,32.679,Campo,San Diego,9b9bf8b4-8378-46e5-a760-67e89e2279e2,https://www.fire.ca.gov/incidents/2017/5/24/ribbonwood-fire/
513,Bitterwater Fire,2018-01-09,2017-05-22,21,-120.99552,36.35578,King City,San Benito,f5ef2d0f-66a7-4d75-a9e8-03c42524d723,https://www.fire.ca.gov/incidents/2017/5/22/bitterwater-fire/
514,Smiley Fire,2018-01-09,2017-05-21,35,-117.20507,33.96419,Moreno Valley,Riverside,54ddf2ef-28b0-4c34-bfe0-1d084f4f57e2,https://www.fire.ca.gov/incidents/2017/5/21/smiley-fire/
515,Range Fire,2018-01-09,2017-05-25,1000,-117.39818,33.34988,Camp Pendleton North,San Diego,bd671dbd-dd3c-413e-b453-4002e382325d,https://www.fire.ca.gov/incidents/2017/5/25/range-fire/
516,Lamb Fire,2018-01-09,2017-05-25,120,-116.99651,33.88287,Beaumont,Riverside,45a205f4-bcd2-44bd-886b-26260c686ce7,https://www.fire.ca.gov/incidents/2017/5/25/lamb-fire/
517,Champagne Fire,2018-01-09,2017-05-28,10,-118.35296,34.87128,Rosamond,Kern,6fa64139-e5d1-4134-b012-5c1b272ac89a,https://www.fire.ca.gov/incidents/2017/5/28/champagne-fire/
518,Rusty Fire,2018-01-09,2017-05-28,16,-119.58292,36.96642,Auberry,Fresno,7272decf-0ae8-47aa-b46c-00fc4cd04816,https://www.fire.ca.gov/incidents/2017/5/28/rusty-fire/
519,Serenas Fire,2018-01-09,2017-05-28,48,-116.07429,33.58577,Mecca,Riverside,2db503da-a7b2-47a6-92a6-697799eb63f1,https://www.fire.ca.gov/incidents/2017/5/28/serenas-fire/
520,Lombardi Fire,2018-01-09,2017-05-28,15,-120.83484,38.19906,Valley Springs,Calaveras,42f21a81-e0a3-4b4d-b837-2e6e2efd75a4,https://www.fire.ca.gov/incidents/2017/5/28/lombardi-fire/
521,Panoche Fire,2018-01-09,2017-05-28,18,-120.7109,36.61332,Firebaugh,Fresno,21e9f99a-35a5-41cd-a44b-92363fbf5081,https://www.fire.ca.gov/incidents/2017/5/28/panoche-fire/
522,Matz Fire,2018-01-09,2017-05-29,16,-116.55326,34.04412,Morongo Valley,San Bernardino,524b1e23-8921-4195-812d-7ec8ee5020b7,https://www.fire.ca.gov/incidents/2017/5/29/matz-fire/
523,Fountain Fire,2018-01-09,2017-05-31,79,-119.00334,35.89423,Terra Bella,Tulare,92d70dc0-19af-4c87-ab01-8c7051caab73,https://www.fire.ca.gov/incidents/2017/5/31/fountain-fire/
524,Twenty Fire,2018-01-09,2017-05-29,10,-121.376,39.23205,Loma Rica,Yuba,67d31514-620f-49d1-b4bd-a3a92efd48ca,https://www.fire.ca.gov/incidents/2017/5/29/twenty-fire/
525,Clay Fire,2018-01-09,2017-06-01,68,-121.11113,38.33707,Clay,Sacramento,bf3148c5-75dd-4f79-8b3b-c5b483065b47,https://www.fire.ca.gov/incidents/2017/6/1/clay-fire/
526,Fairview Fire,2018-01-09,2017-06-01,26,-116.59719,33.94788,Garnet,Riverside,663d291c-7ba8-415d-9cab-58d41a886cfd,https://www.fire.ca.gov/incidents/2017/6/1/fairview-fire/
527,Elk Fire,2018-01-09,2017-06-02,16,-119.2877,35.188,Maricopa,Kern,adf741f6-5416-41c5-af26-01240cc361cf,https://www.fire.ca.gov/incidents/2017/6/2/elk-fire/
528,Jones Fire,2018-01-09,2017-06-03,42,-120.53443,41.38247,Alturas,Modoc,7967c729-4693-47a1-b1bc-1d82825ca8db,https://www.fire.ca.gov/incidents/2017/6/3/jones-fire/
529,Vernon Fire,2018-01-09,2017-06-03,27,-116.96079,33.82165,San Jacinto,Riverside,b0ffe2e4-ae61-4ad9-b1cc-bf31ff254d8d,https://www.fire.ca.gov/incidents/2017/6/3/vernon-fire/
530,5 Fire,2018-01-09,2017-06-03,25,-118.37539,34.29931,San Fernando,Los Angeles,14e249f0-f21c-4d2f-bc5f-68d5d177e849,https://www.fire.ca.gov/incidents/2017/6/3/5-fire/
531,Creek Fire,2018-01-09,2017-06-04,33,-118.4642,35.60633,Lake Isabella,Kern,46c4f0c2-6760-4e42-ac2f-ec25c2486628,https://www.fire.ca.gov/incidents/2017/6/4/creek-fire/
532,Spring Fire,2018-01-09,2017-06-04,78,-122.13088,40.38944,Cottonwood,Tehama,80f2c7d1-d28d-43d0-97a3-ff53cc991a8c,https://www.fire.ca.gov/incidents/2017/6/4/spring-fire/
533,River Fire,2018-01-09,2017-06-04,67,-120.1064,40.03392,Cold Springs,Lassen,b02f2513-9359-45e2-9971-08f7b1f0dc0f,https://www.fire.ca.gov/incidents/2017/6/4/river-fire/
534,Shirleon Fire,2018-01-09,2017-06-04,10,-116.88097,33.87107,Banning,Riverside,7ea6269d-6ba3-41e1-aff6-b4da1c6611d1,https://www.fire.ca.gov/incidents/2017/6/4/shirleon-fire/
535,Fish Fire,2018-01-09,2017-06-05,20,-122.2102,37.86549,Orinda,Contra Costa,304c7c4c-140e-40f4-ac9f-36926c07e5fc,https://www.fire.ca.gov/incidents/2017/6/5/fish-fire/
536,Pine Fire,2018-01-09,2017-06-05,10,-118.796513,35.564124,Oildale,Kern,8bba8daf-8d47-43e7-8593-fdfa2dea5228,https://www.fire.ca.gov/incidents/2017/6/5/pine-fire/
537,Wilbur Fire,2018-01-09,2017-06-06,91,-121.64897,39.52499,Thermalito,Butte,549222c5-1be6-4453-896a-caebd19b0bee,https://www.fire.ca.gov/incidents/2017/6/6/wilbur-fire/
538,Whitepine Fire,2018-01-09,2017-06-06,46,-122.4571,41.8721,Montague,Siskiyou,f8b61fab-bd14-4e92-960a-d512693ea8e5,https://www.fire.ca.gov/incidents/2017/6/6/whitepine-fire/
539,Dinely Fire,2018-01-09,2017-06-07,339,-118.87676,36.45809,Three Rivers,Tulare,6802ed2f-5a5a-4a38-a236-e5a688639b6f,https://www.fire.ca.gov/incidents/2017/6/7/dinely-fire/
540,26 Fire,2018-01-09,2017-06-07,157,-120.0193,37.12759,Madera Acres,Madera,f62bd692-7aae-4e46-8284-239150acced0,https://www.fire.ca.gov/incidents/2017/6/7/26-fire/
541,Bodfish Fire,2018-01-09,2017-06-10,206,-118.47939,35.59804,Bodfish,Kern,2ef06870-3602-4f1a-878d-962f7259ad46,https://www.fire.ca.gov/incidents/2017/6/10/bodfish-fire/
542,Island Fire,2018-01-09,2017-06-09,0,-114.578415,32.779139,Yuma,,b52a8c70-e431-4fce-abcd-98f892262b2f,https://www.fire.ca.gov/incidents/2017/6/9/island-fire/
543,Breckenridge Fire,2018-01-09,2017-06-09,35,-118.84134,35.37351,Lamont,Kern,b11adfe0-b74d-4321-b1bd-3fc0b8f0929b,https://www.fire.ca.gov/incidents/2017/6/9/breckenridge-fire/
544,Hog Fire,2018-01-09,2017-06-09,14,-120.52508,35.80375,San Miguel,Monterey,b9142a59-e3dd-4797-b6ed-c5c847b16f67,https://www.fire.ca.gov/incidents/2017/6/9/hog-fire/
545,Oakwood Fire,2018-01-09,2017-06-10,1431,-119.8011,37.0825,Yosemite Lakes,Madera,d11a4f65-9523-40d8-989a-6603705e9638,https://www.fire.ca.gov/incidents/2017/6/10/oakwood-fire/
546,Wild Fire,2018-01-09,2017-06-11,186,-120.405077,36.704679,Mendota,Fresno,a8e4aa40-5e2a-4fd8-a858-d673576cda73,https://www.fire.ca.gov/incidents/2017/6/11/wild-fire/
547,Refuge Fire,2018-01-09,2017-06-13,22,-122.2654,38.68347,Angwin,Napa,7d9de7fd-f95d-4edb-bda6-804b734eedc8,https://www.fire.ca.gov/incidents/2017/6/13/refuge-fire/
