,incident_name,incident_dateonly_extinguished,incident_dateonly_created,incident_acres_burned,incident_longitude,incident_latitude,city,incident_county,incident_id,incident_url
991,Iron Fire,2019-01-04,2018-06-19,40,-121.908976,37.779209,Blackhawk,Contra Costa,2bee561f-fd8f-44ad-9c25-ccdc671029bc,https://www.fire.ca.gov/incidents/2018/6/19/iron-fire/
992,Ranchita Fire,2019-01-04,2018-06-19,10,-120.57833,35.77017,San Miguel,Monterey,b2adde70-a40e-4b81-9f5f-8f6b96042af2,https://www.fire.ca.gov/incidents/2018/6/19/ranchita-fire/
993,Yankee Fire,2019-01-04,2018-06-20,1500,-120.75593,35.73629,San Miguel,San Luis Obispo,d963ff00-9c98-4bc6-a3b3-4856d8192e87,https://www.fire.ca.gov/incidents/2018/6/20/yankee-fire/
994,Creek Fire,2019-01-04,2018-06-21,10,-120.39295,35.05747,Nipomo,San Luis Obispo,d752892a-9bdf-4b91-83f0-2d3f94c3f370,https://www.fire.ca.gov/incidents/2018/6/21/creek-fire/
995,Bascom Fire,2019-01-04,2018-06-23,328,-122.17457,40.52909,Palo Cedro,Shasta,9fe34773-10d3-419a-a6f5-4ddb2d43a145,https://www.fire.ca.gov/incidents/2018/6/23/bascom-fire/
996,Lane Fire,2019-01-04,2018-06-23,3716,-121.77867,40.35068,Shingletown,Tehama,299d84d9-ff65-4669-bcd7-cb5abb191c75,https://www.fire.ca.gov/incidents/2018/6/23/lane-fire/
997,Sierra Fire,2019-01-04,2018-06-23,170,-122.19792,40.12791,Red Bluff,Tehama,75ad696c-b094-4919-89e3-f879361f5151,https://www.fire.ca.gov/incidents/2018/6/23/sierra-fire/
998,Stoll Fire,2019-01-04,2018-06-23,268,-122.27574,40.18395,Red Bluff,Tehama,72999057-198b-4cd2-a316-2e854ef9a7f8,https://www.fire.ca.gov/incidents/2018/6/23/stoll-fire/
999,Pawnee Fire,2019-01-04,2018-06-23,15185,-122.59848,39.0674,Clearlake Oaks,Lake,25574325-cf1d-4191-bc3d-c50ed0a15f9c,https://www.fire.ca.gov/incidents/2018/6/23/pawnee-fire/
1000,Canyon Fire,2019-01-04,2018-06-23,62,-118.75495,34.53765,Piru,Los Angeles,c8c8905e-4ff4-4563-8ad8-3838a8d0a3bb,https://www.fire.ca.gov/incidents/2018/6/23/canyon-fire/
1001,Stony Fire,2019-01-04,2018-07-04,75,-122.512012,39.2976,Clearlake Oaks,Colusa,b4377461-c17b-41b1-8dc2-9722f8ead519,https://www.fire.ca.gov/incidents/2018/7/4/stony-fire/
1002,Sheep Fire,2019-01-04,2018-06-29,95,-118.72905,35.1234,Stallion Springs,Kern,d7365a2a-a113-4693-92d3-152f52b0d743,https://www.fire.ca.gov/incidents/2018/6/29/sheep-fire/
1003,Creek Fire,2019-01-04,2018-06-24,1678,-122.42308,40.50318,Redding,Shasta,b900fe52-8900-4578-9745-58036920a1ab,https://www.fire.ca.gov/incidents/2018/6/24/creek-fire/
1004,Flat Fire,2019-01-04,2018-06-24,163,-120.30187,37.80785,Tuolumne City,Tuolumne,28d55249-7c63-4213-a7b4-c0796dbb18ca,https://www.fire.ca.gov/incidents/2018/6/24/flat-fire/
1005,Horse Fire,2019-01-04,2018-06-24,80,-120.68902,37.95766,Copperopolis,Calaveras,f2d02439-f682-47e7-b6e9-6e51ca068c86,https://www.fire.ca.gov/incidents/2018/6/24/horse-fire/
1006,Romero Fire,2019-01-04,2018-06-24,68,-121.09354,37.08529,Gustine,Merced,bda69d0e-716e-439e-9a18-49f44d449086,https://www.fire.ca.gov/incidents/2018/6/24/romero-fire/
1007,Peach Fire,2019-01-04,2018-07-05,90,-123.38493,39.038859,Boonville,Mendocino,eabc7fc2-d02b-480a-9472-7c7677e812cb,https://www.fire.ca.gov/incidents/2018/7/5/peach-fire/
1008,Waverly Fire,2019-01-04,2018-06-29,12300,-120.945482,38.052055,Rancho Calaveras,San Joaquin,4efc7855-ecbf-4507-8435-399e23a91fef,https://www.fire.ca.gov/incidents/2018/6/29/waverly-fire/
1009,Llano Fire,2019-01-04,2018-06-29,10,-121.954098,39.6139,Hamilton City,Butte,465ed1e1-89be-4556-b616-834b65746005,https://www.fire.ca.gov/incidents/2018/6/29/llano-fire/
