time,city,county,year,frequency,2m_temperature,total_precipitation,low_vegetation_cover,high_vegetation_cover,10m_wind_speed,volumetric_soil_water_layer_1,total_cloud_cover,density
2013-01-01,China Lake Acres,Kern County,2013,0,280.055115,0.000355811325,0.986853955,0,2.1294601,0.0206318125,0.267667,289153
2013-01-01,Chino Hills,San Bernardino County,2013,0,283.4134,0.0008602105,0.8869272,0.10956311,1.9445248,0.16437815,0.31763995,704913
2013-01-01,Clearlake,Lake County,2013,0,279.60144,0.0008315621,0.01896754,0.975005,1.6617122,0.35383087,0.40131682,35612
2013-01-01,Clearlake Oaks,Lake County,2013,0,279.43518,0.00078954455,0.6029634,0.3162834,1.6915703,0.33278823,0.4086902,35612
2013-01-01,Cloverdale,Sonoma County,2013,0,279.4603,0.0006944332,0.0052645206,0.99462867,1.8234153,0.3571983,0.40733564,206148
2013-01-01,Coalinga,Fresno County,2013,0,280.7301,0.0006760982799999999,0.53713393,0.46079075,1.7386217,0.32962841,0.33487245,321458
2013-01-01,Coarsegold,Madera County,2013,0,278.59137,0.0010489067,0.031358242,0.96864176,1.5350671,0.35637566,0.30268365,49669
2013-01-01,Cobb,Lake County,2013,0,279.41376,0.00073797815,0.0019989908,0.998001,1.6820087,0.35266995,0.39968294,35612
2013-01-01,Collierville,San Joaquin County,2013,0,279.71817,0.00077808555,0.40402544,0.5743976,1.5432863,0.34639636,0.38506183,236448
2013-01-01,Colusa,Colusa County,2013,0,280.1615,0.00064477604,0.49237788,0.5076221,1.8631701,0.3203026,0.3752865,7892
2013-01-01,Concord,Contra Costa County,2013,0,280.46814,0.0006829733,0.8807776,0.056948423,1.9051056,0.33475643,0.4688644,404915
2013-01-01,Copperopolis,Calaveras County,2013,0,279.7108,0.000843022,0.23739186,0.7626082,1.6167574,0.35178578,0.32189918,28024
2013-01-01,Corning,Tehama County,2013,0,279.96793,0.0005282732,0.56606597,0.34265178,2.194963,0.33906183,0.38747773,27180
2013-01-01,Cotati,Sonoma County,2013,0,280.50732,0.0006619645,0.19181177,0.8081882,2.3107047,0.28326854,0.43234652,206148
2013-01-01,Covelo,Mendocino County,2013,0,276.44744749999995,0.001047187725,0.007129997025,0.99206506,1.5835865999999998,0.4007231275,0.46960103999999997,40614
2013-01-01,Crestline,San Bernardino County,2013,0,280.23022,0.00077235606,0.4895091,0.4542902,2.384679,0.11624999,0.29924834,704913
2013-01-01,Cutler,Tulare County,2013,0,281.1169,0.0014476897,0.31924373,0.65905726,1.3683319,0.34616572,0.35505155,144606
2013-01-01,Daly City,San Mateo County,2013,0,281.99768,0.0006944332,0,0,3.3455036,0.16303271,0.40982136,272698
2013-01-01,Dana Point,Orange County,2013,0,286.65198,0.00054355245,0,0,3.1143556,0.0059857816,0.2866242,1061560
2013-01-01,Davis,Yolo County,2013,0,280.16522,0.00070780236,0.50336474,0.4966353,1.701467,0.33012044,0.3955354,75904
2013-01-01,Del Monte Forest,Monterey County,2013,0,284.7877121739131,0.0009450756973913044,0,0,6.521627382608696,4.349999999999999e-06,0.5461436047826087,139733
2013-01-01,Del Rio,Stanislaus County,2013,0,280.41568,0.00086402986,0.501442,0.44891888,1.7083445,0.34111458,0.35005215,180054
2013-01-01,Delano,Kern County,2013,0,281.609,0.0007039821,0.71612775,0.2654388,1.6154156,0.27780992,0.358445,289153
2013-01-01,Denair,Stanislaus County,2013,0,280.7046,0.00083920173,0.42271832,0.57728165,1.5406027,0.3238315,0.36876494,180054
2013-01-01,Desert Hot Springs,Riverside County,2013,0,280.45633,0.00063331705,0.9653915,0.03012222,2.0959954,0.067575976,0.2971257,813435
2013-01-01,Desert Shores,Imperial County,2013,0,285.42688,0.00041788258,0.930081,0.033540368,1.7095184,0.033547997,0.26564908,56665
2013-01-01,Discovery Bay,Contra Costa County,2013,0,280.60706,0.00078763533,0.4939954,0.50600463,1.6305122,0.33272675,0.39441824,404915
2013-01-01,Dixon Lane-Meadow Creek,Inyo County,2013,0,266.785015,0.00034995408333333327,0.9284228383333333,0.03621585231,1.7387336833333336,0.16322877,0.3030118233333334,9497
2013-01-01,Dogtown,San Joaquin County,2013,0,279.6613,0.00081819296,0.4222758,0.57091844,1.5491576,0.35064024,0.3382659,236448
2013-01-01,Dos Palos,Merced County,2013,0,280.98392,0.00086402986,0.7403445,0.23498085,1.6199446,0.31499773,0.3928821,84060
2013-01-01,Downieville,Sierra County,2013,0,272.06049,0.0015132626,0.03328603413333333,0.9652287166666667,2.736097866666667,0.46195005333333333,0.42625789333333336,2342
2013-01-01,Dunsmuir,Siskiyou County,2013,0,274.17127666666664,0.0010853217200000001,0.032965580333333334,0.95537616,2.250821033333333,0.46669625333333337,0.42980029333333336,24080
2013-01-01,East Foothills,Santa Clara County,2013,0,279.9524,0.0010278979,0.3547373,0.575832,1.7907057,0.3306048,0.3662373,643833
2013-01-01,East Oakdale,Stanislaus County,2013,0,280.3514,0.0007628063,0.66761786,0.29394352,1.6746283,0.33803928,0.31763995,180054
2013-01-01,East Porterville,Tulare County,2013,0,276.2062,0.00145151,0.08688754,0.8840279,1.2447062,0.37800258,0.35616872,144606
