,2013,2014,2015,2016,2017,2018,2019
"Imperial Beach city, California","27,031","27,055","27,259","27,329","27,278","27,362","27,440"
"Indian Wells city, California","5,139","5,193","5,255","5,324","5,392","5,435","5,470"
"Indio city, California","83,358","85,127","86,917","88,196","89,438","90,970","91,765"
"Industry city, California",207,207,207,207,206,204,202
"Inglewood city, California","110,954","110,840","110,693","110,271","109,907","109,038","108,151"
"Ione city, California","6,963","6,972","6,997","7,031","7,818","8,381","8,568"
"Irvine city, California","236,057","247,136","255,382","265,345","276,000","281,732","287,401"
"Irwindale city, California","1,413","1,417","1,421","1,427","1,452","1,458","1,446"
"Isleton city, California",819,824,830,835,844,843,844
"Jackson city, California","4,596","4,611","4,660","4,695","4,734","4,793","4,840"
"Jurupa Valley city, California","99,469","100,080","101,460","103,240","105,760","108,314","109,527"
"Kerman city, California","14,299","14,329","14,412","14,534","14,860","14,987","15,282"
"King City city, California","13,189","13,482","13,789","13,830","13,941","13,970","14,077"
"Kingsburg city, California","11,698","11,727","11,800","11,831","12,013","12,071","12,108"
"La Cañada Flintridge city, California","20,470","20,451","20,428","20,397","20,297","20,161","20,009"
"Lafayette city, California","25,024","25,423","25,790","26,153","26,388","26,524","26,638"
"Laguna Beach city, California","23,213","23,214","23,232","23,165","23,045","22,931","22,827"
"Laguna Hills city, California","31,260","31,215","31,973","31,849","31,631","31,395","31,207"
"Laguna Niguel city, California","64,381","65,079","65,396","65,145","66,011","66,079","66,385"
"Laguna Woods city, California","16,290","16,264","16,251","16,184","16,068","15,949","15,850"
"La Habra city, California","60,224","60,421","60,473","60,292","60,898","60,778","60,513"
"La Habra Heights city, California","6,622","6,628","6,639","6,616","6,590","6,545","6,492"
"Lake Elsinore city, California","57,711","60,111","61,955","63,807","66,066","68,051","69,283"
"Lake Forest city, California","79,112","79,678","81,964","83,019","83,878","85,381","85,531"
"Lakeport city, California","4,753","4,765","4,780","4,909","4,909","4,926","5,006"
"Lakewood city, California","80,883","80,927","80,951","80,895","80,510","79,907","79,307"
"La Mesa city, California","58,556","58,855","59,697","59,751","59,722","59,389","59,249"
"La Mirada city, California","48,961","49,019","49,129","49,054","48,827","48,544","48,183"
"Lancaster city, California","159,055","159,634","159,813","159,633","159,434","158,622","157,601"
"La Palma city, California","15,846","15,819","15,806","15,739","15,644","15,525","15,428"
"La Puente city, California","40,305","40,367","40,412","40,250","40,078","39,772","39,614"
"La Quinta city, California","39,119","39,742","40,209","40,777","41,180","41,464","41,748"
"Larkspur city, California","12,185","12,286","12,383","12,362","12,316","12,302","12,254"
"Lathrop city, California","19,120","19,506","20,287","21,564","22,221","23,227","24,483"
"La Verne city, California","31,659","32,240","32,442","32,350","32,258","32,096","31,974"
"Lawndale city, California","33,108","33,141","33,157","33,033","32,875","32,647","32,389"
"Lemon Grove city, California","26,116","26,404","26,554","26,766","26,963","26,885","26,811"
"Lemoore city, California","24,826","25,010","25,452","25,666","26,262","26,470","26,725"
"Lincoln city, California","45,018","45,727","46,286","46,965","47,525","47,862","48,275"
"Lindsay city, California","12,938","13,107","13,147","13,213","13,249","13,448","13,463"
"Live Oak city, California","8,373","8,383","8,411","8,707","8,724","8,723","8,912"
"Livermore city, California","85,448","87,017","88,248","89,572","90,137","90,253","90,189"
"Livingston city, California","13,460","13,722","13,810","13,916","14,085","14,417","14,896"
"Lodi city, California","63,128","63,620","64,264","64,578","65,715","67,003","67,586"
"Loma Linda city, California","23,691","23,749","23,952","24,091","24,132","24,331","24,482"
"Lomita city, California","20,597","20,619","20,659","20,629","20,576","20,448","20,320"
"Lompoc city, California","43,384","43,870","43,916","43,537","43,274","42,689","42,853"
"Long Beach city, California","468,000","469,109","470,128","468,719","466,646","465,865","462,628"
"Loomis town, California","6,640","6,687","6,691","6,747","6,793","6,819","6,866"
"Los Alamitos city, California","11,597","11,631","11,621","11,587","11,526","11,458","11,399"
"Los Altos city, California","30,014","30,277","30,667","30,728","30,677","30,456","30,089"
"Los Altos Hills town, California","8,345","8,440","8,468","8,564","8,561","8,530","8,423"
"Los Angeles city, California","3,881,622","3,909,901","3,938,568","3,963,226","3,975,788","3,977,596","3,979,576"
"Los Banos city, California","36,608","36,820","37,151","37,461","38,933","39,960","41,036"
"Los Gatos town, California","30,722","30,976","30,970","30,984","30,914","30,599","30,222"
"Loyalton city, California",714,701,704,696,707,702,702
"Lynwood city, California","71,146","71,193","71,397","70,979","70,685","70,285","69,887"
"McFarland city, California","12,430","13,577","13,941","14,484","14,996","15,139","15,506"
"Madera city, California","62,749","63,230","63,690","64,187","64,941","65,440","65,860"
"Malibu city, California","12,807","12,839","12,865","12,853","12,817","12,757","11,820"
"Mammoth Lakes town, California","8,058","8,086","8,045","8,158","8,182","8,220","8,235"
"Manhattan Beach city, California","35,426","35,461","35,504","35,608","35,702","35,418","35,183"
"Manteca city, California","71,761","73,157","75,088","76,831","79,079","81,603","83,028"
"Maricopa city, California","1,178","1,185","1,187","1,187","1,191","1,194","1,192"
"Marina city, California","20,269","20,680","21,071","21,622","21,986","22,456","22,781"
"Martinez city, California","37,119","37,473","38,050","38,325","38,411","38,406","38,297"
"Marysville city, California","12,154","12,165","12,154","12,193","12,351","12,452","12,476"
"Maywood city, California","27,614","27,628","27,636","27,536","27,406","27,196","26,973"
"Mendota city, California","11,512","11,505","11,526","11,541","11,543","11,526","11,511"
"Menifee city, California","83,045","84,522","86,411","88,057","90,104","92,249","94,756"
"Menlo Park city, California","33,013","33,211","33,389","33,970","34,184","34,500","34,698"
"Merced city, California","80,703","81,120","81,775","82,232","82,589","83,113","83,676"
"Millbrae city, California","22,480","22,669","22,803","22,764","22,649","22,530","22,394"
"Mill Valley city, California","14,307","14,379","14,377","14,351","14,287","14,296","14,259"
"Milpitas city, California","69,944","73,560","77,485","77,829","77,874","80,208","84,196"
"Mission Viejo city, California","96,003","96,622","96,543","96,149","95,551","94,925","94,381"
"Modesto city, California","206,075","207,652","209,245","211,231","213,000","214,389","215,196"
"Monrovia city, California","36,992","37,066","37,153","37,019","36,846","36,592","36,331"
"Montague city, California","1,395","1,388","1,388","1,388","1,396","1,394","1,398"
"Montclair city, California","37,923","38,212","38,447","38,784","39,124","39,324","40,083"
"Montebello city, California","63,279","63,322","63,379","63,134","62,823","62,440","61,954"
"Monterey city, California","28,600","28,549","28,496","28,568","28,411","28,170","28,178"
"Monterey Park city, California","60,796","60,832","60,908","60,830","60,668","60,198","59,669"
"Monte Sereno city, California","3,442","3,473","3,489","3,511","3,514","3,480","3,427"
"Moorpark city, California","35,136","35,474","36,000","36,444","36,561","36,438","36,375"
"Moraga town, California","16,753","16,993","17,220","17,441","17,600","17,693","17,783"
"Moreno Valley city, California","200,195","201,831","202,919","204,711","206,741","208,889","213,055"
"Morgan Hill city, California","41,028","42,074","42,991","44,430","44,961","45,084","45,952"
"Morro Bay city, California","10,447","10,498","10,578","10,612","10,603","10,559","10,543"
"Mountain View city, California","77,955","79,150","80,345","80,821","81,189","83,168","82,739"
"Mount Shasta city, California","3,263","3,271","3,274","3,270","3,286","3,277","3,274"
"Murrieta city, California","107,361","108,037","109,372","111,492","112,995","114,715","116,223"
"Napa city, California","78,728","79,384","79,636","79,616","79,083","78,946","78,130"
"National City city, California","59,776","60,132","60,721","60,967","61,083","61,272","61,394"
"Needles city, California","4,908","4,928","4,949","4,967","4,987","4,977","4,976"
"Nevada City city, California","3,095","3,070","3,153","3,145","3,136","3,139","3,148"
"Newark city, California","44,078","44,640","45,236","45,872","47,429","48,185","49,149"
"Newman city, California","10,629","10,711","10,840","11,065","11,288","11,611","11,784"
"Newport Beach city, California","86,877","86,688","86,585","86,510","85,740","85,074","84,534"
"Norco city, California","27,033","26,998","26,307","26,807","26,861","26,791","26,604"
"Norwalk city, California","106,122","106,189","106,237","105,844","105,466","104,798","103,949"
"Novato city, California","54,142","54,856","55,406","55,913","55,701","55,640","55,516"
"Oakdale city, California","21,457","21,764","22,125","22,573","23,026","23,395","23,596"
"Oakland city, California","406,648","412,901","418,211","420,947","424,382","429,056","433,031"
"Oakley city, California","38,142","39,118","39,708","40,665","41,618","42,121","42,543"
"Oceanside city, California","173,175","174,318","175,189","175,451","175,884","175,758","175,742"
"Ojai city, California","7,573","7,593","7,593","7,573","7,545","7,480","7,470"
"Ontario city, California","167,096","168,097","170,210","172,561","175,334","180,718","185,010"
"Orange city, California","139,972","139,424","140,503","140,581","140,251","139,449","138,669"
"Orange Cove city, California","10,215","10,220","10,258","10,272","10,293","10,286","10,273"
"Orinda city, California","18,674","18,973","19,251","19,521","19,707","19,821","19,926"
"Orland city, California","7,442","7,486","7,489","7,523","7,622","7,635","7,827"
"Oroville city, California","18,750","18,945","18,956","18,996","19,103","19,130","20,737"
"Oxnard city, California","202,835","204,560","206,228","207,455","208,831","209,271","208,881"
"Pacifica city, California","38,722","39,074","39,309","39,267","38,999","38,754","38,546"
"Pacific Grove city, California","15,435","15,495","15,551","15,585","15,575","15,487","15,413"
"Palmdale city, California","156,495","156,770","156,988","156,739","156,558","156,158","155,079"
"Palm Desert city, California","50,357","50,916","51,552","52,077","52,794","53,129","53,275"
"Palm Springs city, California","46,158","46,634","47,111","47,577","48,048","48,355","48,518"
"Palo Alto city, California","66,613","66,848","66,782","67,353","66,960","66,258","65,364"
"Palos Verdes Estates city, California","13,541","13,548","13,555","13,536","13,462","13,360","13,273"
